avg_power,spectral_centroid,peak_freq,pow_delta,log_pow_delta,pow_theta,log_pow_theta,pow_alpha,log_pow_alpha,pow_beta,log_pow_beta,pow_gamma,log_pow_gamma,file_name,epoch_idx,difficulty
6.062394618919678e-12,3.5724059191285953,1.0,6.201641041933759e-11,-10.207493374831838,8.501703486333192e-12,-11.070494045980858,1.893629474156669e-12,-11.722704995275436,5.780768322295544e-13,-12.23801443563523,2.9741966074135173e-13,-12.526630326099017,sub-001_ses-1_task_all_physiological_recordings.xdf,0,easy
1.40595410517583e-12,7.487067540422375,1.0,1.0106354421041485e-11,-10.995405475501748,2.369354278539842e-12,-11.625369996385187,1.0140528999795133e-12,-11.993939388622072,4.770178552050663e-13,-12.321465364624657,2.991089289900539e-13,-12.524170622230372,sub-001_ses-1_task_all_physiological_recordings.xdf,1,easy
1.4700174469624867e-12,8.124860467735456,1.0,1.0108177640874449e-11,-10.99532713440412,1.7973385923467768e-12,-11.745370100444712,1.5464954684120896e-12,-11.810651348241796,6.240656427525469e-13,-12.204769726365935,2.756299489655294e-13,-12.55967359531371,sub-001_ses-1_task_all_physiological_recordings.xdf,2,easy
7.769136305691172e-12,3.3101700979507203,1.0,7.9541216793476e-11,-10.099407769615437,1.2417349978305172e-11,-10.905971078281626,1.9801240652864663e-12,-11.703307598030737,5.629495742369976e-13,-12.249530504991299,2.733486089531032e-13,-12.56328313185301,sub-001_ses-1_task_all_physiological_recordings.xdf,3,easy
1.2810935126262288e-12,6.988126394351055,1.0,9.998066669863661e-12,-11.000083971578492,1.8000018783716361e-12,-11.744727041693354,8.224889087437099e-13,-12.084869949796081,4.548338582422617e-13,-12.342147213508355,2.0354168535846082e-13,-12.691346633774353,sub-001_ses-1_task_all_physiological_recordings.xdf,4,easy
6.118265751917183e-12,3.122212669564785,1.0,6.6246506514469e-11,-10.178837019149533,7.612276826218969e-12,-11.118485426649691,8.784339986229088e-13,-12.056290863776747,4.93447727539384e-13,-12.306758846730082,2.5427745163936736e-13,-12.594692149705425,sub-001_ses-1_task_all_physiological_recordings.xdf,5,easy
3.371287017698648e-12,4.569525759084473,1.0,3.090823863650218e-11,-10.509925743310793,6.182096489218809e-12,-11.208864220817802,1.059516993545825e-12,-11.974892073267492,5.438554240153683e-13,-12.264516535774815,2.657803566924162e-13,-12.575477120064981,sub-001_ses-1_task_all_physiological_recordings.xdf,6,easy
4.666030870662422e-12,4.093997982994432,1.0,4.4017773400586614e-11,-10.35637192962219,8.801604388441977e-12,-11.0554381558569,1.3290991649514317e-12,-11.876442614855202,5.689324345123025e-13,-12.244939306646735,2.836699182892891e-13,-12.547186716420027,sub-001_ses-1_task_all_physiological_recordings.xdf,7,easy
3.1629207780399773e-12,4.941001209587503,1.0,2.674863622183364e-11,-10.572698355565395,6.958399698484936e-12,-11.157490628497193,1.2372500666581671e-12,-11.907542514118727,5.5996262753504e-13,-12.251840957274014,2.504027542370088e-13,-12.60136089853127,sub-001_ses-1_task_all_physiological_recordings.xdf,8,easy
1.305955801496157e-12,9.605865170286929,1.0,7.693434312144121e-12,-11.113879749943182,1.561832076537451e-12,-11.806365661978269,1.5851168527295747e-12,-11.799938716648093,6.763368398465633e-13,-12.169836956051917,3.2314868576177975e-13,-12.490597606003316,sub-001_ses-1_task_all_physiological_recordings.xdf,9,easy
6.949109058179052e-12,3.3222546529200434,1.0,6.987215273154034e-11,-10.15569587610981,1.20100422861265e-11,-10.920455463488096,1.452574176801612e-12,-11.837861680794376,6.13721731023686e-13,-12.212028498686765,2.4142039846488483e-13,-12.617226037608733,sub-001_ses-1_task_all_physiological_recordings.xdf,10,easy
5.753945128467373e-12,3.842175362803213,1.0,5.6428352977759936e-11,-10.248502625666681,1.004838898951187e-11,-10.997903561034368,1.3846603124692785e-12,-11.858656755490632,5.913551042817335e-13,-12.228151650223882,3.419635311342172e-13,-12.466020207018948,sub-001_ses-1_task_all_physiological_recordings.xdf,11,easy
9.471272752567159e-12,3.3589546481644925,1.0,9.53144849959064e-11,-10.0208410943694,1.789724933037994e-11,-10.747213711614146,1.607994856784862e-12,-11.79371534468802,5.511175501602263e-13,-12.258755758786936,3.63038111175345e-13,-12.440047781012519,sub-001_ses-1_task_all_physiological_recordings.xdf,12,easy
3.8768089008397e-12,4.960979716221798,1.0,3.4824656641398246e-11,-10.458113156870436,6.989218689611606e-12,-11.155571370428211,1.486099421839942e-12,-11.827952134779958,6.187565019496266e-13,-12.208480224428463,4.3339197596059324e-13,-12.363119133690628,sub-001_ses-1_task_all_physiological_recordings.xdf,13,easy
