avg_power,spectral_centroid,peak_freq,pow_delta,log_pow_delta,pow_theta,log_pow_theta,pow_alpha,log_pow_alpha,pow_beta,log_pow_beta,pow_gamma,log_pow_gamma,file_name,epoch_idx,difficulty
4.212727228680455e-12,3.798711896662172,1.0,4.3060436543606766e-11,-10.36592157164401,5.148966875430189e-12,-11.288279902086954,1.4401182789972933e-12,-11.841601837205909,4.814745696718851e-13,-12.31742664632311,3.050478817447473e-13,-12.515631986405937,sub-002_ses-3_task_all_physiological_recordings.xdf,0,easy
1.6054189730777727e-11,2.879032684776475,1.0,1.9438530363526447e-10,-9.71133657269872,5.362637949995428e-12,-11.270621522751052,1.274738859848605e-12,-11.894578774714416,1.0812934043810584e-12,-11.966056446089125,1.1772706361634594e-12,-11.929123688149314,sub-002_ses-3_task_all_physiological_recordings.xdf,1,easy
1.8643205965402773e-12,5.904351814305622,1.0,1.6327731063442274e-11,-10.787074161563966,2.552479518968436e-12,-11.593037733995088,8.514569521655626e-13,-12.069837304142421,4.580721585693784e-13,-12.339066103655338,3.046733516811255e-13,-12.516165529774542,sub-002_ses-3_task_all_physiological_recordings.xdf,2,easy
2.3670117959161587e-12,4.6055302918137455,1.0,2.2616301703585627e-11,-10.645578410950778,3.0909912110823245e-12,-11.509902229806924,9.011525243934349e-13,-12.045201696372384,4.241710990690615e-13,-12.372458925499839,2.5365753878044473e-13,-12.595752225788548,sub-002_ses-3_task_all_physiological_recordings.xdf,3,easy
3.2167376601537096e-12,3.8376769798103476,1.0,3.266479920955021e-11,-10.4859200070732,4.153146102426181e-12,-11.381622790690892,1.0457479606650992e-12,-11.98057297367323,3.7326401514821117e-13,-12.427983876604252,2.2722462973488809e-13,-12.64354459559213,sub-002_ses-3_task_all_physiological_recordings.xdf,4,easy
1.2793116438108546e-12,6.35987002109243,1.0,1.0026878478822915e-11,-10.998834248477015,2.1647243479186974e-12,-11.66459739806332,8.40398000567648e-13,-12.075514989516288,3.5584955759723734e-13,-12.448733569764547,1.9942896630102027e-13,-12.700211761816448,sub-002_ses-3_task_all_physiological_recordings.xdf,5,easy
2.7779924535875843e-12,4.075828916723942,1.0,2.5619101856786676e-11,-10.591436099629533,5.560498011441176e-12,-11.254886310228176,9.23506231027992e-13,-12.034560169967168,3.2333070336319126e-13,-12.49035305298795,1.7702389551018002e-13,-12.75196810658866,sub-002_ses-3_task_all_physiological_recordings.xdf,6,easy
1.9893172229523922e-12,4.557743928397135,1.0,1.872117295346123e-11,-10.72766694452648,2.885013043661877e-12,-11.539852218980496,8.222964069994117e-13,-12.084971607373987,3.399032950574588e-13,-12.468644625301213,1.810838236857263e-13,-12.742120343710257,sub-002_ses-3_task_all_physiological_recordings.xdf,7,easy
1.6302546322604951e-12,6.160889518606647,1.0,1.2418768509064593e-11,-10.905921468268515,3.372246013313712e-12,-11.472080750083082,9.99445793756443e-13,-12.000240755433659,4.0573372067131767e-13,-12.391758896429518,2.3979883628803327e-13,-12.620152928805611,sub-002_ses-3_task_all_physiological_recordings.xdf,8,easy
2.7221432707824894e-12,4.50542570738814,1.0,2.5023448646658723e-11,-10.60165283752816,4.263103917389646e-12,-11.370274080864752,1.4731555773230427e-12,-11.831751385672645,4.1304767713472704e-13,-12.383999815846115,2.1351771586253263e-13,-12.670566085125401,sub-002_ses-3_task_all_physiological_recordings.xdf,9,easy
2.3990615973074457e-12,4.499361203276693,1.0,2.2011453283831442e-11,-10.657351282648262,3.966327819284335e-12,-11.401611393957594,1.2204683417167163e-12,-11.913473481462734,3.4812340894570804e-13,-12.458266772366011,1.8333601812084435e-13,-12.736752205335254,sub-002_ses-3_task_all_physiological_recordings.xdf,10,easy
